name,category,quantity,unit_price,cost_price,unit,brand,model_variant,description,low_stock_alert,available_for_sale,tax,tags,main_image_url,expiry_date,status,return_policy
55g Sonia Pepper & Onions,Tomato & Pepper Paste,2,360,300,Carton,Sonia,,"Recorded: 2 Cartons | Price per single piece | Source: Page 1, Not dated (page 1)",5,YES,0,stock-count,https://images.unsplash.com/photo-1592924357228-91a4daadcfea?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
55g Gino Pepper & Onions,Tomato & Pepper Paste,2,360,300,Carton,Gino,,"Recorded: 2 Cartons | Price per single piece | Source: Page 1, Not dated (page 1)",5,YES,0,stock-count,https://images.unsplash.com/photo-1592924357228-91a4daadcfea?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
400g Tin Tomatoes (De Rica & Soup),Tomato & Pepper Paste,24,1440,1200,Carton,De Rica,,"Recorded: 24 Tins (1 Carton) | Price per single piece | Source: Page 1, Not dated (page 1)",5,YES,0,stock-count,https://images.unsplash.com/photo-1592924357228-91a4daadcfea?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
210g Tin Tomatoes (Supergold & De Rica),Tomato & Pepper Paste,48,900,750,Carton,De Rica,,"Recorded: 48 Tins (2 Cartons) | Price per single piece | Source: Page 1, Not dated (page 1)",5,YES,0,stock-count,https://images.unsplash.com/photo-1592924357228-91a4daadcfea?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Big Bay Leaves,Seasonings & Spices,4,840,700,Sachet,,,"Recorded: 4 Sachets | Price per single piece | Source: Page 1, Not dated (page 1)",5,YES,0,stock-count,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Small Bay Leaves,Seasonings & Spices,4,600,500,Sachet,,,"Recorded: 4 Sachets | Price per single piece | Source: Page 1, Not dated (page 1)",5,YES,0,stock-count,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Big Dried Thyme,Seasonings & Spices,2,960,800,Sachet,,,"Recorded: 2 Sachets | Price per single piece | Source: Page 1, Not dated (page 1)",5,YES,0,stock-count,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Ama Wonda Jollof Rice,Seasonings & Spices,10,1800,1500,Roll,Ama Wonda,,"Recorded: 10 Rolls | Price per single piece | Source: Page 1, Not dated (page 1)",5,YES,0,stock-count,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Ama Wonda Fried Rice,Seasonings & Spices,10,1800,1500,Roll,Ama Wonda,,"Recorded: 10 Rolls | Price per single piece | Source: Page 1, Not dated (page 1)",5,YES,0,stock-count,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Ama Wonda Ginger & Garlic,Groceries,10,1800,1500,Roll,Ama Wonda,,"Recorded: 10 Rolls | Price per single piece | Source: Page 1, Not dated (page 1)",5,YES,0,stock-count,https://images.unsplash.com/photo-1542838132-92c53300491e?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Ace Jollof Rice,Seasonings & Spices,10,1800,1500,Roll,Ace,,"Recorded: 10 Rolls | Price per single piece | Source: Page 1, Not dated (page 1)",5,YES,0,stock-count,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Napa Goat Seasoning,Seasonings & Spices,10,1800,1500,Roll,Napa,,"Recorded: 10 Rolls x 21 | Price per single piece | NOTE: Written as a multiple - verify total pieces intended | Source: Page 1, Not dated (page 1)",5,YES,0,stock-count,https://images.unsplash.com/photo-1586201375761-83865001e31c?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Gino Thyme,Seasonings & Spices,10,1680,1400,Roll,Gino,,"Recorded: 10 Rolls x 14 | Price per single piece | NOTE: Written as a multiple - verify total pieces intended | Source: Page 1, Not dated (page 1)",5,YES,0,stock-count,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Tiger Thyme,Seasonings & Spices,10,1680,1400,Roll,Tiger,,"Recorded: 10 Rolls x 8 | Price per single piece | NOTE: Written as a multiple - verify total pieces intended | Source: Page 1, Not dated (page 1)",5,YES,0,stock-count,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Kings Oil 2 Liters,Cooking Oil,12,6960,5800,Can,Kings,,"Recorded: 12 Cans | Price per single piece | Source: Page 1, Not dated (page 1)",5,YES,0,stock-count,https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Terra Gold Oil 1000ml,Cooking Oil,18,3600,3000,Sachet,Golden Terra,,"Recorded: 18 Sachets | Price per single piece | Source: Page 1, Not dated (page 1)",5,YES,0,stock-count,https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Devon Kings 500ml Oil,Cooking Oil,24,1920,1600,Sachet,Devon King's,,"Recorded: 24 Sachets | Price per single piece | Source: Page 1, Not dated (page 1)",5,YES,0,stock-count,https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Emperor 500ml Oil,Cooking Oil,24,1920,1600,Sachet,Emperor,,"Recorded: 24 Sachets | Price per single piece | Source: Page 1, Not dated (page 1)",5,YES,0,stock-count,https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
1Kg Salt Biggest Pack,Salt,1,840,700,Bag,,,"Recorded: 1 Bag (20 pieces) | Price per single piece | Source: Page 1, Not dated (page 1)",5,YES,0,stock-count,https://images.unsplash.com/photo-1518110925495-5fe2fda0442c?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
500g Salt Bigger Pack,Salt,27,540,450,Sachet,,,"Recorded: 27 Sachets | Price per single piece | Source: Page 1, Not dated (page 1)",5,YES,0,stock-count,https://images.unsplash.com/photo-1518110925495-5fe2fda0442c?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
250g Salt Smallest Pack,Salt,40,360,300,Sachet,,,"Recorded: 40 Sachets | Price per single piece | Source: Page 1, Not dated (page 1)",5,YES,0,stock-count,https://images.unsplash.com/photo-1518110925495-5fe2fda0442c?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
25Kg Super Delicieux Oil,Cooking Oil,4,50400,42000,Gallon,Super Delicieux,,"Recorded: 4 Gallons | Price per single piece | Source: Page 1, Not dated (page 1)",5,YES,0,stock-count,https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Power Oil 45ml Sachet,Cooking Oil,1,420,350,Carton,Power Oil,,"Recorded: 1 Carton (96 + 16 extra) | Price per single piece | Source: Page 1, Not dated (page 1)",5,YES,0,stock-count,https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Power Oil 110ml Sachet,Cooking Oil,1,840,700,Carton,Power Oil,,"Recorded: 1 Carton (40 + 6 extra) | Price per single piece | Source: Page 1, Not dated (page 1)",5,YES,0,stock-count,https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Activa 40ml Oil,Cooking Oil,2,385,320,Carton,Activa,,"Recorded: 2 Cartons | Price per single piece | Source: Page 1, Not dated (page 1)",5,YES,0,stock-count,https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Masala Curry,Seasonings & Spices,3,720,600,Roll,Masala,,"Recorded: 3 Rolls | Price per single piece | Source: Page 1, Not dated (page 1)",5,YES,0,stock-count,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
